OTU_ID,pathogen_type,otu_Order,otu_Family,otu_Genus
89,Protozoa,Incertae_Sedis,Blastocystis,Blastocystis_sp._subtype_3
97,Protozoa,Apicomplexa,Eimeriorina,Eimeria
76,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
79,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
84,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
75,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
86,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
77,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
92,Protozoa,Incertae_Sedis,Blastocystis,NA
95,Protozoa,Parabasalia,Trichomonadea,Simplicimonas
87,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
96,Protozoa,Apicomplexa,Eimeriorina,Eimeria
90,Protozoa,Incertae_Sedis,Blastocystis,NA
85,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
98,Protozoa,Parabasalia,Trichomonadea,Tetratrichomonas
103,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
107,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
100,Protozoa,Parabasalia,Trichomonadea,Pentatrichomonas
105,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
102,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
111,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
112,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
88,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
99,Protozoa,Parabasalia,Trichomonadea,Tetratrichomonas
80,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
109,Protozoa,Incertae_Sedis,Blastocystis,NA
113,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
78,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
83,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
81,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
110,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
93,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
104,Protozoa,Apicomplexa,Eimeriorina,Eimeria
114,Protozoa,Parabasalia,Tritrichomonadea,Tritrichomonas
106,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
94,Protozoa,Parabasalia,Trichomonadea,NA
82,Protozoa,Parabasalia,Hypotrichomonadea,Hypotrichomonas
108,Protozoa,Apicomplexa,Cryptosporida,Cryptosporidium
91,Protozoa,Incertae_Sedis,Blastocystis,NA
101,Protozoa,Parabasalia,Trichomonadea,Pentatrichomonas
5,Nematoda,Strongylida,Ancylostomatidae,Necator
6,Nematoda,Strongylida,Ancylostomatidae,Ancylostoma
2,Nematoda,Strongylida,Heligmonellidae,Nippostrongylus
4,Nematoda,Strongylida,Heligmonellidae,Carolinensis
3,Nematoda,Strongylida,Heligmonellidae,Carolinensis
1,Nematoda,Strongylida,Heligmonellidae,Nippostrongylus
10,Nematoda,Strongylida,Trichostrongylidae,NA
11,Nematoda,Strongylida,Trichostrongylidae,Viannaia
13,Nematoda,Strongylida,Trichostrongylidae,Viannaia
44,Nematoda,Rhabditida,Rhabditidae,NA
21,Nematoda,Strongylida,Trichostrongylidae,NA
20,Nematoda,Strongylida,Trichostrongylidae,NA
8,Nematoda,Strongylida,Ancylostomatidae,Ancylostoma
32,Nematoda,Rhabditida,NA,NA
16,Nematoda,Strongylida,Trichostrongylidae,NA
7,Nematoda,Strongylida,Ancylostomatidae,Uncinaria
17,Nematoda,Strongylida,Trichostrongylidae,Trichostrongylus
22,Nematoda,Rhabditida,Rhabditidae,Caenorhabditis
51,Nematoda,Rhabditida,Rhabditidae,NA
15,Nematoda,Strongylida,Trichostrongylidae,Viannaia
28,Nematoda,Strongylida,Trichostrongylidae,Trichostrongylus
19,Nematoda,Rhabditida,Rhabditidae,Caenorhabditis
18,Nematoda,Rhabditida,Rhabditidae,Oscheius
37,Nematoda,Rhabditida,NA,NA
25,Nematoda,Rhabditida,NA,NA
59,Nematoda,Rhabditida,NA,NA
23,Nematoda,Strongylida,Angiostrongylidae,Angiostrongylus
34,Nematoda,Rhabditida,NA,NA
54,Nematoda,Rhabditida,Rhabditidae,NA
14,Nematoda,Strongylida,Trichostrongylidae,Viannaia
9,Nematoda,Strongylida,Trichostrongylidae,Viannaia
12,Nematoda,Strongylida,Trichostrongylidae,Viannaia
26,Nematoda,Strongylida,NA,NA
42,Nematoda,Rhabditida,NA,NA
56,Nematoda,Rhabditida,NA,NA
55,Nematoda,Rhabditida,Hoplolaimidae,NA
41,Nematoda,Strongylida,Heligmonellidae,Nippostrongylus
30,Nematoda,Rhabditida,NA,NA
50,Nematoda,Rhabditida,NA,NA
29,Nematoda,Rhabditida,Ascarididae,NA
72,Nematoda,Rhabditida,NA,NA
73,Nematoda,Strongylida,NA,NA
27,Nematoda,Rhabditida,Rhabditidae,Oscheius
31,Nematoda,Strongylida,Syngamidae,Syngamus
24,Nematoda,Strongylida,Trichostrongylidae,NA
60,Nematoda,Rhabditida,Cystidicolidae,NA
58,Nematoda,Rhabditida,NA,NA
36,Nematoda,Rhabditida,NA,NA
33,Nematoda,Rhabditida,NA,NA
63,Nematoda,Rhabditida,NA,NA
40,Nematoda,Rhabditida,NA,NA
66,Nematoda,Rhabditida,Heterakidae,NA
57,Nematoda,Strongylida,NA,NA
69,Nematoda,Rhabditida,Aphelenchoididae,NA
64,Nematoda,Rhabditida,NA,NA
49,Nematoda,Strongylida,NA,NA
39,Nematoda,Rhabditida,Heterakidae,NA
53,Nematoda,Rhabditida,NA,NA
45,Nematoda,Rhabditida,NA,NA
52,Nematoda,Rhabditida,Pratylenchidae,NA
65,Nematoda,Strongylida,Angiostrongylidae,Angiostrongylus
74,Nematoda,Rhabditida,NA,NA
46,Nematoda,Rhabditida,NA,NA
38,Nematoda,Rhabditida,NA,NA
43,Nematoda,Strongylida,NA,NA
67,Nematoda,Strongylida,NA,NA
68,Nematoda,Rhabditida,NA,NA
47,Nematoda,Rhabditida,NA,NA
48,Nematoda,Rhabditida,NA,NA
70,Nematoda,Strongylida,NA,NA
71,Nematoda,Rhabditida,Sphaerulariidae,NA
62,Nematoda,Strongylida,NA,NA
35,Nematoda,Rhabditida,NA,NA
61,Nematoda,Strongylida,NA,NA
